ID;Setor;delta_x;delta_va
19;Derivados de petróleo;-30517.90;-2896.13
43;Gás Natural;-1583.54;-901.28
9;Fabricação e refino de açúcar;-408.37;-66.73
40;Geração centralizada de energia elétrica;-145.74;-48.61
10;Outros produtos alimentares;-59.98;-12.19
41;Geração distribuída de energia elétrica;-37.09;-12.86
33;Fabricação de máquinas e equipamentos elétricos;-35.34;-8.85
42;Transmissão;-10.50;-5.63
15;Fabricação de calçados e de artefatos de couro;-2.70;-0.96
11;Fabricação de bebidas;-2.63;-0.74
