ID;Setor;delta_emp;emp_coeff
19;Derivados de petróleo;-1325.57;0.043436
9;Fabricação e refino de açúcar;-1239.19;3.034468
43;Gás Natural;-1071.01;0.676335
10;Outros produtos alimentares;-237.21;3.954952
33;Fabricação de máquinas e equipamentos elétricos;-87.66;2.480856
40;Geração centralizada de energia elétrica;-64.46;0.442295
14;Confecção de artefatos do vestuário e acessórios;-36.62;25.237626
15;Fabricação de calçados e de artefatos de couro;-28.90;10.685436
41;Geração distribuída de energia elétrica;-17.50;0.471845
13;Fabricação de produtos têxteis;-9.39;11.537185
