ID;Setor;delta_emp;emp_coeff
20;Biodiesel;5158.51;0.252014
21;Coquerias;1.81;0.078893
73;Serviços domésticos;0.00;88.157795
12;Fabricação de produtos do fumo;-0.33;1.133172
69;Saúde pública;-1.17;10.944237
70;Saúde privada;-4.18;11.318282
35;Fabricação de automóveis, caminhões e ônibus, exceto peças;-5.41;0.854764
37;Fabricação de outros equipamentos de transporte, exceto veículos automotores;-7.23;1.945280
6;Extração de minério de ferro, inclusive beneficiamentos e a aglomeração;-9.64;0.383857
7;Extração de minerais metálicos não-ferrosos, inclusive beneficiamentos;-14.67;1.584250
