ID;Setor;delta_x;delta_va
20;Biodiesel;31219.40;3163.54
22;Fabricação de biocombustíveis;852.60;179.83
5;Extração de petróleo e gás, inclusive as atividades de apoio;579.81;258.57
47;Comércio por atacado e a varejo, exceto veículos automotores;183.90;112.45
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;119.17;62.72
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;86.52;59.37
23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;69.06;10.27
21;Coquerias;66.70;2.33
48;Transporte terrestre;50.62;20.97
58;Intermediação financeira, seguros e previdência complementar;37.94;24.71
