Cenario;Delta_f;Novo_Fluxo_Total;Delta_x;Delta_VA;Delta_Emp
Cenário Base;0.00;79799.05;0.00;0.00;0.00
Cenário 1 - Substituição Fósseis → Renováveis;0.00;79799.05;76.38;148.24;2392.83
Cenário 2 - Eletrificação Veículos Leves;0.00;79799.05;-175.98;496.70;1777.65
Cenário 3 - Ampliação Biocombustíveis;-0.00;79799.05;678.81;39.70;12871.29
