ID;Setor;delta_x;delta_VA
40;Geração centralizada de energia elétrica;62871.32;20972.82
42;Transmissão;4515.66;2420.25
41;Geração distribuída de energia elétrica;4062.49;1408.11
33;Fabricação de máquinas e equipamentos elétricos;1286.43;322.38
58;Intermediação financeira, seguros e previdência complementar;1133.57;738.23
62;Outras atividades profissionais, científicas e técnicas;765.28;283.38
64;Outras atividades administrativas e serviços complementares;726.25;490.22
31;Fabricação de produtos de metal, exceto máquinas e equipamentos;554.30;181.28
28;Fabricação de produtos de minerais não-metálicos;452.87;133.65
57;Desenvolvimento de sistemas e outros serviços de informação;445.56;294.23
