ID;Setor;delta_emp;emp_coeff
47;Comércio por atacado e a varejo, exceto veículos automotores;-1658.20;14.540389
43;Gás Natural;-942.93;0.676335
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;-594.00;8.257374
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-527.71;16.801451
9;Fabricação e refino de açúcar;-274.39;3.034468
19;Derivados de petróleo;-237.79;0.043436
5;Extração de petróleo e gás, inclusive as atividades de apoio;-221.26;0.221937
48;Transporte terrestre;-153.75;10.221896
63;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;-132.72;6.156377
51;Armazenamento, atividades auxiliares dos transportes e correio;-131.07;5.822909
