ID;Setor;delta_x;delta_va
19;Derivados de petróleo;-5474.56;-519.53
43;Gás Natural;-1394.17;-793.49
5;Extração de petróleo e gás, inclusive as atividades de apoio;-996.97;-444.61
47;Comércio por atacado e a varejo, exceto veículos automotores;-114.04;-69.73
9;Fabricação e refino de açúcar;-90.42;-14.77
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;-71.94;-49.36
23;Fabricação de químicos orgânicos e inorgânicos, resinas e elastômeros;-43.94;-6.53
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-31.41;-16.53
49;Transporte aquaviário;-28.55;-12.48
10;Outros produtos alimentares;-22.89;-4.65
