ID;Setor;M_Emprego
73;Serviços domésticos;8.8e+01
2;Pecuária, inclusive o apoio à pecuária;4.6e+01
14;Confecção de artefatos do vestuário e acessórios;3.4e+01
72;Organizações associativas e outros serviços pessoais;3.2e+01
71;Atividades artísticas, criativas e de espetáculos;3.2e+01
53;Alimentação;2.7e+01
3;"Produção florestal; pesca e aquicultura";2.5e+01
8;Abate e produtos de carne, inclusive os produtos do laticínio e da pesca;2.4e+01
68;Educação privada;2.3e+01
52;Alojamento;2.1e+01
