setor;ID;Setor;f_base;delta_f;f_cen1;delta_x;x_cen1;delta_va;delta_emp
S39;39;Manutenção, reparação e instalação de máquinas e equipamentos;14695.78614839768;0.0;14695.78614839768;-210.28820228239283;79757.71179771761;-74.98459493900602;-1400.556557920727
S40;40;Geração centralizada de energia elétrica;84332.07188842422;124.43100281966409;84456.50289124389;-145.60946473937463;231595.7471424104;-48.57288099420497;-64.4023056962042
S41;41;Geração distribuída de energia elétrica;7654.098070707304;4.807879282218597;7658.905949989523;-57.690472913091135;34427.06246821593;-19.99625614172322;-27.22096954736521
S42;42;Transmissão;53.16466012229647;0.0;53.16466012229647;-10.57091350208622;16743.164838765566;-5.665678111615475;-7.866483697488149
S43;43;Gás Natural;10118.217137655047;-1553.32;8564.897137655047;-1621.035838664286;38538.11886078928;-922.6143487140431;-1096.3629287715623
S44;44;Água, esgoto e gestão de resíduos;34142.25000150219;0.0;34142.25000150219;-55.64710141049645;82164.35289858951;-34.06980586114061;-381.65505620148383
S45;45;Construção;442972.3935269824;0.0;442972.3935269824;-86.94247421546862;551986.0575257845;-38.31262374203993;-1199.6908031440823
S46;46;Comércio e reparação de veículos automotores e motocicletas;120458.27090104387;0.0;120458.27090104387;-53.14480791437502;175039.8551920856;-29.70825509325443;-901.1148922674486
S47;47;Comércio por atacado e a varejo, exceto veículos automotores;647766.0016702183;0.0;647766.0016702183;-1674.0816770992446;1118904.9183229008;-1023.6037518250943;-24341.799452315718
S48;48;Transporte terrestre;134435.07352108252;0.0;134435.07352108252;-889.9883429217055;397923.0116570783;-368.6926556451509;-9097.368261473917
S49;49;Transporte aquaviário;7951.31447514362;0.0;7951.31447514362;-167.24551634131458;22874.754483658686;-73.12727094604394;-382.75140236205806
S50;50;Transporte aéreo;18168.44608249849;0.0;18168.44608249849;-81.07087493044534;44725.92912506955;-18.010120942211117;-109.51724035675065
S51;51;Armazenamento, atividades auxiliares dos transportes e correio;43692.981283399924;0.0;43692.981283399924;-331.11216437879875;138512.8878356212;-189.39909607159254;-1928.0360563532722
S52;52;Alojamento;13035.822547059804;0.0;13035.822547059804;-18.955352346585585;27768.044647653416;-10.111067494910985;-299.2056014714885
S53;53;Alimentação;236456.66717480277;0.0;236456.66717480277;-28.04023043737184;276909.95976956264;-13.21436030668177;-569.2537964700961
S54;54;Edição e edição integrada à impressão;9049.207048858703;0.0;9049.207048858703;-7.095317922522659;17895.90468207748;-3.4131083030087215;-53.94391515781735
S55;55;Atividades de televisão, rádio, cinema e  gravação/edição de som e imagem;2531.293402785704;0.0;2531.293402785704;-49.251480462123965;43824.748519537876;-19.070158866083833;-187.02518353448883
S56;56;Telecomunicações;101684.75692133712;0.0;101684.75692133712;-83.17832260376532;166795.82167739625;-34.86253271051337;-125.65843634216924
S57;57;Desenvolvimento de sistemas e outros serviços de informação;84037.64148935952;0.0;84037.64148935952;-84.50313917744519;167325.49686082255;-55.80155028330081;-379.5937949632925
S58;58;Intermediação financeira, seguros e previdência complementar;301736.51956864115;0.0;301736.51956864115;-635.4725791853599;648373.5274208146;-413.8465125501227;-1215.2564037599714
S59;59;Atividades imobiliárias;549382.112390987;0.0;549382.112390987;-125.21940623379938;639626.7805937662;-115.09697314599791;-91.29077836739883
S60;60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;32034.85165758845;0.0;32034.85165758845;-787.7707981967268;227825.22920180327;-540.5709385166701;-6504.917961359517
S61;61;Serviços de arquitetura, engenharia, testes/análises técnicas e P & D;29673.530162023802;0.0;29673.530162023802;-84.01645101743915;62806.983548982564;-52.098989890908236;-842.3580674810115
S62;62;Outras atividades profissionais, científicas e técnicas;5098.809316572152;0.0;5098.809316572152;-137.49480793163755;104682.50519206836;-50.9132176594026;-804.0980224705705
S63;63;Aluguéis não-imobiliários e gestão de ativos de propriedade intelectual;8978.277349505062;0.0;8978.277349505062;-200.94336344216856;48278.056636557834;-124.97459417778467;-1237.0830985814976
S64;64;Outras atividades administrativas e serviços complementares;58973.688460707635;0.0;58973.688460707635;-225.82784470813334;261489.17215529186;-152.43498163381588;-3605.7048335392374
S65;65;Atividades de vigilância, segurança e investigação;521.3553863900769;0.0;521.3553863900769;-49.29202282179157;43046.70797717821;-40.16357391375559;-894.3306441585186
S66;66;Administração pública, defesa e seguridade social;831653.4542648473;0.0;831653.4542648473;-58.3327677750371;858705.667232225;-41.84423963170519;-327.7606199737556
S67;67;Educação pública;349600.59501555085;0.0;349600.59501555085;-1.9605522632914967;351093.0394477367;-1.6480544329084985;-23.464637980857425
S68;68;Educação privada;127384.63032665911;0.0;127384.63032665911;-28.434933676641748;143408.56506632335;-20.395711820434126;-570.6666008222235
S69;69;Saúde pública;202297.8604357738;0.0;202297.8604357738;-0.0905862594369203;202715.90941374056;-0.05998196007201392;-0.9913975155956468
S70;70;Saúde privada;266851.74285359745;0.0;266851.74285359745;-0.29462265271693133;302872.7053773473;-0.16515319864423428;-3.3346222435111286
S71;71;Atividades artísticas, criativas e de espetáculos;33041.817888479054;0.0;33041.817888479054;-6.830391211755354;40359.169608788245;-3.889157003690855;-189.99895807680443
S72;72;Organizações associativas e outros serviços pessoais;143373.98584295495;0.0;143373.98584295495;-58.28260442926731;171860.71739557074;-29.29029798965947;-1526.505956205773
S73;73;Serviços domésticos;74451.0;0.0;74451.0;0.0;74451.0;0.0;0.0
