ID;Setor;delta_emp;emp_coeff
47;Comércio por atacado e a varejo, exceto veículos automotores;-24341.80;14.540389
1;Agricultura, inclusive o apoio à agricultura e a pós-colheita;-23400.66;16.801451
48;Transporte terrestre;-9097.37;10.221896
60;Atividades jurídicas, contábeis, consultoria e sedes de empresas ;-6504.92;8.257374
9;Fabricação e refino de açúcar;-3653.50;3.034468
64;Outras atividades administrativas e serviços complementares;-3605.70;15.966609
19;Derivados de petróleo;-3388.14;0.043436
22;Fabricação de biocombustíveis;-2524.87;1.798323
51;Armazenamento, atividades auxiliares dos transportes e correio;-1928.04;5.822909
10;Outros produtos alimentares;-1798.41;3.954952
